iter	RMSE
0	0.2915275629
1	0.2911198835
2	0.2906755858
3	0.2902125047
4	0.2899227779
5	0.2895763701
6	0.2893640188
7	0.2890695163
8	0.2887934239
9	0.2883990106
10	0.2882637283
11	0.2879752152
12	0.2877738151
13	0.2873019505
14	0.2870183311
15	0.2867762804
16	0.2865954112
17	0.2861624863
18	0.2856833318
19	0.2854792042
20	0.2851616154
21	0.2847456365
22	0.2842845381
23	0.2841207234
24	0.2836801773
25	0.2831242962
26	0.2827799151
27	0.2825948982
28	0.2822730037
29	0.2818399004
30	0.2816421763
31	0.2814771876
32	0.2812001566
33	0.2809909397
34	0.2806468133
35	0.2804327148
36	0.2802019027
37	0.2799770158
38	0.2794874551
39	0.2792035639
40	0.2789292096
41	0.2788018846
42	0.2786490545
43	0.2784277505
44	0.2781575549
45	0.2778813844
46	0.2777086254
47	0.2772571509
48	0.2769746094
49	0.2767297328
50	0.2765934023
51	0.2762714349
52	0.2759776464
53	0.2756091376
54	0.27533356
55	0.2750015035
56	0.2746846896
57	0.2743855554
58	0.2739624146
59	0.2736934121
60	0.2735332278
61	0.2733807078
62	0.2730812265
63	0.2724593847
64	0.2722745709
65	0.2721125309
66	0.2718844825
67	0.2716225279
68	0.2713360564
69	0.2712123184
70	0.270823558
71	0.2705107101
72	0.2702407661
73	0.26982531
74	0.2695219853
75	0.2692771075
76	0.2690173422
77	0.2687140189
78	0.2685405329
79	0.2682040707
80	0.2676758825
81	0.267431136
82	0.2671220343
83	0.2668375725
84	0.2666262176
85	0.2664031245
86	0.2661116558
87	0.2657266799
88	0.2653680407
89	0.2650908546
90	0.2648258842
91	0.2645755971
92	0.2643524515
93	0.2640060402
94	0.2634656718
95	0.2631618683
96	0.2627424695
97	0.2624040392
98	0.2620434024
99	0.2617539232
100	0.2614332292
101	0.2610984753
102	0.260740644
103	0.2603761266
104	0.2599810997
105	0.2598384825
106	0.25945774
107	0.2592339592
108	0.2589333821
109	0.2587100739
110	0.2582438358
111	0.2579330248
112	0.257472279
113	0.2571082605
114	0.2567327597
115	0.2564485733
116	0.2562643865
117	0.2560512774
118	0.2555831335
119	0.2552424366
120	0.2549811102
121	0.2544343119
122	0.2540082754
123	0.2537680931
124	0.2533563727
125	0.253092625
126	0.2528087243
127	0.2525054395
128	0.2520803015
129	0.2517631561
130	0.2514636116
131	0.2510180647
132	0.2505195368
133	0.2501289484
134	0.2497740843
135	0.2492144876
136	0.2487514836
137	0.2483800935
138	0.2482032282
139	0.2479126173
140	0.247655123
141	0.2472933392
142	0.2470364407
143	0.2466846492
144	0.2464506394
145	0.2461535718
146	0.2458336394
147	0.2453591259
148	0.2450547221
149	0.2446843602
150	0.2443701169
151	0.2440213039
152	0.2438641964
153	0.2436133438
154	0.2433230308
155	0.2429533548
156	0.2425732562
157	0.2422485186
158	0.2419255627
159	0.2413862472
160	0.240993305
161	0.2406864909
162	0.2404362572
163	0.2400073606
164	0.2396577319
165	0.2393110234
166	0.2390559674
167	0.2387318144
168	0.2384411432
169	0.2380877961
170	0.2377579879
171	0.2374706103
172	0.2371744228
173	0.2368713574
174	0.2365611072
175	0.2362525334
176	0.2360770471
177	0.2358002089
178	0.2353852385
179	0.2351199847
180	0.2349463983
181	0.2345210259
182	0.2343071826
183	0.2339799133
184	0.2337823924
185	0.2334688476
186	0.2331213113
187	0.2328686229
188	0.2324489377
189	0.2321620821
190	0.2318030426
191	0.2314552512
192	0.2310919879
193	0.2308951382
194	0.2305541425
195	0.2302845838
196	0.2300449195
197	0.2297547698
198	0.2294544314
199	0.229233409
200	0.2289528315
201	0.2286278377
202	0.2283826019
203	0.2280873167
204	0.2276939237
205	0.2274089551
206	0.2270645273
207	0.2266789552
208	0.2264736432
209	0.2260531961
210	0.2257614867
211	0.225686918
212	0.2252939325
213	0.2250906813
214	0.224812124
215	0.2245534751
216	0.2244305756
217	0.2242077747
218	0.2238117498
219	0.2234201584
220	0.2231850358
221	0.2229639325
222	0.2227325106
223	0.2225803521
224	0.2224978687
225	0.222183884
226	0.2218066539
227	0.2214179461
228	0.22115679
229	0.2207409464
230	0.2204440943
231	0.2201664033
232	0.2198490178
233	0.2195485387
234	0.2194558044
235	0.2191504686
236	0.2186954109
237	0.2184169996
238	0.2181993382
239	0.2180251634
240	0.2176674482
241	0.217383896
242	0.2170118846
243	0.2168416081
244	0.2167252005
245	0.2163865018
246	0.2161803511
247	0.215927589
248	0.2156980111
249	0.215395266
250	0.2151398629
251	0.2147811532
252	0.214450026
253	0.2142471596
254	0.2140084167
255	0.2136291627
256	0.2133861995
257	0.2130125224
258	0.212838995
259	0.2126560291
260	0.2124419904
261	0.2121410815
262	0.2119048178
263	0.2117263574
